0	0.01	0.001	8	41.35240173339844	42.01863098144531	0.93984375	0.8328125	0.8328125	0.8453125	0.8609375
1	0.01	0.001	8	38.74848556518555	39.371925354003906	0.951484375	0.83671875	0.8328125	0.8453125	0.8609375
2	0.01	0.001	8	36.334930419921875	36.942481994628906	0.954765625	0.843359375	0.8328125	0.8453125	0.8609375
3	0.01	0.001	8	34.07429122924805	34.66484451293945	0.958359375	0.8453125	0.8328125	0.8453125	0.8609375
4	0.01	0.001	8	31.956640243530273	32.53040313720703	0.96125	0.846484375	0.8328125	0.8453125	0.8609375
5	0.01	0.001	8	29.971946716308594	30.528339385986328	0.96265625	0.84609375	0.8328125	0.8453125	0.8609375
6	0.01	0.001	8	28.110918045043945	28.652307510375977	0.965	0.84921875	0.8328125	0.8453125	0.8609375
7	0.01	0.001	8	26.36642837524414	26.8938045501709	0.96640625	0.85	0.8328125	0.8453125	0.8609375
8	0.01	0.001	8	24.731382369995117	25.245929718017578	0.968671875	0.852734375	0.8328125	0.8453125	0.8609375
9	0.01	0.001	8	23.19847869873047	23.698596954345703	0.969609375	0.8484375	0.8328125	0.8453125	0.8609375
10	0.01	0.001	8	21.76142120361328	22.24921226501465	0.970390625	0.84921875	0.8328125	0.8453125	0.8609375
11	0.01	0.001	8	20.414140701293945	20.892126083374023	0.971953125	0.8515625	0.8328125	0.8453125	0.8609375
12	0.01	0.001	8	19.150278091430664	19.615253448486328	0.973359375	0.850390625	0.8328125	0.8453125	0.8609375
13	0.01	0.001	8	17.965669631958008	18.421293258666992	0.974921875	0.848828125	0.8328125	0.8453125	0.8609375
14	0.01	0.001	8	16.85456085205078	17.29789161682129	0.97546875	0.84921875	0.8328125	0.8453125	0.8609375
15	0.01	0.001	8	15.813078880310059	16.24391746520996	0.975859375	0.85078125	0.8328125	0.8453125	0.8609375
16	0.01	0.001	8	14.83566665649414	15.258844375610352	0.976953125	0.8484375	0.8328125	0.8453125	0.8609375
17	0.01	0.001	8	13.919266700744629	14.3325777053833	0.978203125	0.848046875	0.8328125	0.8453125	0.8609375
18	0.01	0.001	8	13.059919357299805	13.465181350708008	0.978671875	0.848828125	0.8328125	0.8453125	0.8609375
19	0.01	0.001	8	12.254068374633789	12.648324966430664	0.979375	0.85078125	0.8328125	0.8453125	0.8609375
20	0.01	0.001	8	11.498383522033691	11.886419296264648	0.9803125	0.85	0.8328125	0.8453125	0.8609375
21	0.01	0.001	8	10.789860725402832	11.16822338104248	0.98109375	0.851171875	0.8328125	0.8453125	0.8609375
22	0.01	0.001	8	10.125544548034668	10.496711730957031	0.981875	0.8515625	0.8328125	0.8453125	0.8609375
23	0.01	0.001	8	9.502859115600586	9.86594295501709	0.981953125	0.8515625	0.8328125	0.8453125	0.8609375
24	0.01	0.001	8	8.918961524963379	9.274765014648438	0.982578125	0.853125	0.8328125	0.8453125	0.8609375
25	0.01	0.001	8	8.371858596801758	8.720184326171875	0.982890625	0.851953125	0.8328125	0.8453125	0.8609375
26	0.01	0.001	8	7.858134746551514	8.200296401977539	0.983203125	0.8546875	0.8328125	0.8453125	0.8609375
27	0.01	0.001	8	7.376965522766113	7.713031768798828	0.983984375	0.855859375	0.8328125	0.8453125	0.8609375
28	0.01	0.001	8	6.92597770690918	7.255948066711426	0.984921875	0.857421875	0.8328125	0.8453125	0.8609375
29	0.01	0.001	8	6.503062725067139	6.82599401473999	0.98484375	0.8578125	0.8328125	0.8453125	0.8609375
30	0.01	0.001	8	6.106689453125	6.4221296310424805	0.9853125	0.857421875	0.8328125	0.8453125	0.8609375
31	0.01	0.001	8	5.735930919647217	6.048516750335693	0.98609375	0.85859375	0.8328125	0.8453125	0.8609375
32	0.01	0.001	8	5.386760234832764	5.690183162689209	0.98625	0.86015625	0.8328125	0.8453125	0.8609375
33	0.01	0.001	8	5.060358047485352	5.358294486999512	0.9871875	0.8609375	0.8328125	0.8453125	0.8609375
34	0.01	0.001	8	4.755107879638672	5.049579620361328	0.986640625	0.863671875	0.8328125	0.8453125	0.8609375
35	0.01	0.001	8	4.467581272125244	4.753819942474365	0.987734375	0.862109375	0.8328125	0.8453125	0.8609375
36	0.01	0.001	8	4.198907375335693	4.480834007263184	0.98796875	0.863671875	0.8328125	0.8453125	0.8609375
37	0.01	0.001	8	3.9470746517181396	4.224168300628662	0.98796875	0.865625	0.8328125	0.8453125	0.8609375
38	0.01	0.001	8	3.7109715938568115	3.9829165935516357	0.988359375	0.8671875	0.8328125	0.8453125	0.8609375
39	0.01	0.001	8	3.4900317192077637	3.758286237716675	0.98828125	0.8671875	0.8328125	0.8453125	0.8609375
40	0.01	0.001	8	3.282762050628662	3.544853925704956	0.9878125	0.86640625	0.8328125	0.8453125	0.8609375
41	0.01	0.001	8	3.088393449783325	3.3468010425567627	0.9884375	0.866796875	0.8328125	0.8453125	0.8609375
42	0.01	0.001	8	2.906486749649048	3.160670757293701	0.9884375	0.8671875	0.8328125	0.8453125	0.8609375
43	0.01	0.001	8	2.7365853786468506	2.9863667488098145	0.98734375	0.8671875	0.8328125	0.8453125	0.8609375
44	0.01	0.001	8	2.576416254043579	2.8231208324432373	0.98859375	0.86953125	0.8328125	0.8453125	0.8609375
45	0.01	0.001	8	2.4269564151763916	2.669680118560791	0.988125	0.8703125	0.8328125	0.8453125	0.8609375
46	0.01	0.001	8	2.286827802658081	2.526057004928589	0.98828125	0.86796875	0.8328125	0.8453125	0.8609375
47	0.01	0.001	8	2.155627489089966	2.3914756774902344	0.988203125	0.869921875	0.8328125	0.8453125	0.8609375
